status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1551805975083245_1923643677899471,For those of us whose Child. Just. Wouldn't. Sleep. 🤦🏻‍♀️,Awestruck,video,https://www.facebook.com/awestruckTV/videos/1970351006573817/,2017-12-21 09:25:00,6,3,0,3,0,0,3,0,0,0
1551805975083245_1913491215581384,"I'm pretty sure all moms can relate! Coz I can! 🙄🤦🏻‍♀️

__________

We have new collection up! https://goo.gl/NEs4Vs",VT,video,https://www.facebook.com/JungleVT/videos/1764071387068029/,2017-12-16 09:15:00,13,0,0,7,0,0,6,0,0,0
1551805975083245_1920161248247714,"Aren't they the most adorable? 😍

Shop their look (kimonos and floral headbands) at https://goo.gl/NEs4Vs",,photo,https://www.facebook.com/Hahanoyume/photos/a.1568305123433330.1073741828.1551805975083245/1920160964914409/?type=3,2017-12-14 08:31:33,16,0,0,15,1,0,0,0,0,0
1551805975083245_1920157951581377,Fun day out is always the best! 2yo Liv is in Kiyoko (12-18m). Get yours now at https://goo.gl/NEs4Vs,,photo,https://www.facebook.com/Hahanoyume/photos/a.1568305123433330.1073741828.1551805975083245/1920156888248150/?type=3,2017-12-13 08:00:37,3,0,0,3,0,0,0,0,0,0
1551805975083245_1920154561581716,,Haha no yume 母の夢,photo,https://www.facebook.com/Hahanoyume/photos/a.1553791681551341.1073741827.1551805975083245/1920154528248386/?type=3,2017-12-13 06:54:26,10,0,0,8,2,0,0,0,0,0
1551805975083245_1913490798914759,"LOL! 🤣🤣

www.hahanoyume.com",LOL Therapy,video,https://www.facebook.com/therapylol/videos/131426820878421/,2017-12-12 09:13:01,19,1,0,8,5,0,6,0,0,0
1551805975083245_1919286255001880,"The sweetest pink ever! 😍And selling fast too!😱
Get a FREE pack of limited edition Hello Kitty money packet with every purchase! Perfect for the coming Lunar New Year! While stocks last.
Shop now at www.hahanoyume.com/collections/cny-collection",,photo,https://www.facebook.com/Hahanoyume/photos/a.1568305123433330.1073741828.1551805975083245/1919286238335215/?type=3,2017-12-12 08:39:43,33,1,1,32,1,0,0,0,0,0
1551805975083245_1919587374971768,"Want your baby boy and girl get BIG Hong Baos this coming Lunar New Year? Dress them to impress! 😍
Shop now at: https://www.hahanoyume.com/collections/cny-collection",,video,https://www.facebook.com/Hahanoyume/videos/1919587348305104/,2017-12-11 22:25:13,46,6,14,46,0,0,0,0,0,0
1551805975083245_1913492575581248,"THIS! I can soooo relate! I literally tell my 3 yo whenever she asks me where her father is, to go look for him at the toilet! 🙄",Story of This Life,video,https://www.facebook.com/StoryofThisAndersonLife/videos/797228407061318/,2017-12-11 09:00:00,9,2,0,3,0,0,6,0,0,0
1551805975083245_1919335498330289,"Dress your baby up to impress and receive BIG Hong Baos this coming Lunar New Year! 😍
Shop now at: https://www.hahanoyume.com/collections/cny-collection

FREE Limited Edition Hello Kitty money packets for every purchase! While stocks last.

https://www.hahanoyume.com/collections/cny-collection",,video,https://www.facebook.com/Hahanoyume/videos/1919335461663626/,2017-12-11 06:47:28,19,3,3,19,0,0,0,0,0,0
1551805975083245_1913492275581278,Superdaddy to the rescue! #dadwins 😍,Globe Emporium,video,https://www.facebook.com/GlobeEmporium/videos/1572587076095194/,2017-12-10 09:21:00,12,0,0,6,3,0,3,0,0,0
1551805975083245_1913491962247976,Dads the best! 😘,America's Funniest Home Videos,video,https://www.facebook.com/AFV/videos/10156011260001661/,2017-12-08 09:19:00,4,0,0,2,2,0,0,0,0,0
1551805975083245_1913491825581323,"Awwww.. how precious! 😍❤️

www.hahanoyume.com",PopSugar Moms,video,https://www.facebook.com/PopSugarMoms/videos/10155625286520250/,2017-12-07 09:18:00,31,2,0,18,12,0,1,0,0,0
1551805975083245_1913491665581339,Baby's first taste of rejection 😭,9GAG,video,https://www.facebook.com/9gag/videos/10156588891051840/,2017-12-06 09:17:00,9,0,0,0,1,0,8,0,0,0
1551805975083245_1913491465581359,"Husbands! Hahahaha! 🙄🤣

www.hahanoyume.com",Curejoy Kids,video,https://www.facebook.com/CurejoyKids/videos/1818671378206593/,2017-12-05 09:16:00,21,1,0,7,1,0,13,0,0,0
1551805975083245_1913707382226434,"There you have it! Our CNY2018 Limited Edition baby kimonos launching in 10 days! Perfect for your baby boy and girl this coming CNY

They're LIMITED EDITION, so limited pieces available, and they sell out pretty quick. Use code JOYFUL20 to save 20% off your cart! Offer expires 31 Dec 2017, so hurry!
_______________________________________________________

Furisode Series - The Language of Flowers. 

The fabric reminisces the language of flowers, Hanakotoba, meant to convey emotion and communicate directly to each other without needing the use of words. Flower symbolism plays a vital role in Japanese art, literature and everyday life.

Symbols and motifs have always been an integral part of Japanese aesthetics, both in traditional and modern designs. 

Cranes represent longevity and good fortune, perfect combination of good blessings for the new year.

The Chrysanthemum is a symbol of endurance and rejuvenation, whilst the cherry blossom has been revered by the Japanese and closely associated with its philosophy of mono no aware.

http://eepurl.com/c7IEFD",Photos from Haha no yume 母の夢's post,photo,https://www.facebook.com/Hahanoyume/photos/a.1568305123433330.1073741828.1551805975083245/1913704875560018/?type=3,2017-12-03 08:23:01,36,3,8,34,2,0,0,0,0,0
1551805975083245_1913711488892690,Isn't she just the sweetest?? 😍Match your baby girl's kimono with a tutu for a playful yet girly look! 😘,,photo,https://www.facebook.com/Hahanoyume/photos/a.1568305123433330.1073741828.1551805975083245/1913710592226113/?type=3,2017-11-30 09:27:00,11,0,0,10,1,0,0,0,0,0
1551805975083245_1913489782248194,"Such a little boss!
____________________

Use code JOYFUL20 to save 20% off your cart! Offer expires 31 Dec 2017, so hurry!",Baby Lovers,video,https://www.facebook.com/aaaaababy2017/videos/2027834187439315/,2017-11-27 09:07:00,100,9,0,82,18,0,0,0,0,0
