comment_message,Sentiment
Ain Syada,neutral
AH Man:bie nak kasut ni??,neutral
Wan Muhammad Ariff nah ganti kasut bb yg takde size tu.,negative
??,neutral
Rey Hash..nak yg ni...??????????,neutral
Amir Cacipo tlg survey hihi,neutral
"Haha ok,",positive
Tp tali die xcantik pulak,neutral
Mmg lah tali dia mcm rayband,neutral
Itu je xcantik,neutral
Jiasiang Tey Nice ?,positive
Khairul Asraf syg nk ni...,neutral
Ita Hj Othman,neutral
Lawa eh ada ni arh zalora ??,neutral
Yoh zalora sudah nii ??,neutral
Ain Hunny,neutral
Rosman Aizat,neutral
Elene Lee Joanne Lim ??,neutral
????????????,neutral
Khairul Asraf,neutral
Imelda Goh,neutral
This don’t know how to wear ??,neutral
Jmy Ooi,neutral
Ekeen Adinanin,neutral
Pm harga,neutral
Pm me,neutral
Melissa Tan from AsNTM 3 & Shikin Gomez from AsNTM 5...,neutral
Greattt...,neutral
??????,neutral
Pm,neutral
Sandra Valdemor,neutral
pm price,neutral
jam gshock,neutral
Pm jaket,neutral
Pm,neutral
"Hi, calling all shopaholics !",neutral
.,neutral
Great news !,positive
Now you can save while shopping at Zalora.,neutral
How ?,neutral
Quote this code ‘ ZBAPX81L ‘ during checkout to enjoy 15% off total bill.,positive
Valid for new & existing customers.,positive
How Much,positive
Khairul Bahar... Omg,neutral
Nana Yusof tlg tgkkn saiz,neutral
[[PHOTO]],neutral
Brand apa ni ye...,neutral
Jurie Yanie ni smart kn,positive
NiCk Fahmiey comel,neutral
"Brapo ni , blue black comel",negative
xtahu aku,neutral
Nati nok siasat,neutral
how,neutral
Nur Wahida tell me how to save now??,neutral
??????,neutral
Fatihah Onlyme lawa nye.......,neutral
Lawaaaaaaaa????????..tp kaler nude xde meyh,neutral
Aris Mohamed ??,neutral
Please blanje satu,neutral
??????,neutral
??,neutral
Dhiviya Kunalan,neutral
Hana Idris Nur Fathihah Nur Irsalina,neutral
Cantik lar Mamak,neutral
wow,positive
How she adapted the theme of floral fauna to make their big day full of tremendous goals and be remembered as the glorious part in life.congratulations Yuna and Adam,positive
Absolutely stunning,positive
Highlight of our proposed trip hehehe,neutral
Im really Dissapointed with your service.,positive
I purchase an item 11 January and until now ive not received my item and yet you dont even reply my email!!!!!,neutral
!,neutral
How much?,positive
Hi Zalora.,neutral
Is this post accurate?,positive
You do not seem to have the leather models pictured here available.,positive
Pm me the price and size,neutral
Woww crown the feet!,neutral
!,neutral
Wah cantik...:),positive
cantik2... gaji kitaorang keje gudang zalora bilo nk bayo...,neutral
Zmr Mhmd belanja.. hehe,neutral
Pm,neutral
Pm price,neutral
pm hrga,neutral
Sivanesan Govindasamy,neutral
How did he get out from prison?,neutral
..LOL #theflash,neutral
Thanks,positive
Wowww ??,neutral
Puteri Elida  urs?,neutral
??,neutral
"kabayan Rowena Sofian uso na ulit  ,I like it ??",neutral
Wey wey gusto ko din yan??,neutral
Bjhvjbv,neutral
Fiqa Jamingon,neutral
Hi p,neutral
[[STICKER]],neutral
Mr.zalora,neutral
